,City,NickName,Province,Sex,Signature
63,['City'],Harry,北京,1,从今天起做一个简单的人不浪费时间不沉溺过去不畏惧将来！！！
64,['City'],小溪,天津,2,在乎的东西越多，越是无法保持冷静
65,['City'],恒瑞石材15132077550,,1,晨光如此撩人，风光了谁家的门，我叹时光易老，转眼便是黄昏！
66,['City'],辛磊,北京,1,
67,['City'],吴方潇,福建,1,
68,['City'],360搜索王尚栋,山西,2,
69,['City'],快乐加加加,,2,
70,['City'],修燃,河北,1,.......
71,['City'],我要起个好名字,北京,1,手机号，17600345518
72,['City'],有故事的大叔,江苏,1,稳稳的幸福！
73,['City'],壮壮,山西,1,我需要的是你打开一扇窗。。
74,['City'],袁云利,,1,奋斗的青春最美丽
75,['City'],杜君,天津,2,
76,['City'],蕾·娃儿,北京,2,动次打次
77,['City'],刘青朋,福建,1,刘氏脆皮烤鸭店，承接，宴席，食堂，酒店，等各种批发订购
78,['City'],Charles,北京,1,
79,['City'],JR,北京,1,一切伟大的成功都是源于一个信仰般的梦想和毫无根据的自信！
80,['City'],HSKun,河北,1,新号16630068150，原号码即将停机。
81,['City'],范文,河北,1,平平淡淡    从从容容
82,['City'],若琳,北京,2,伊人当自强
83,['City'],A柒尚阳光健身会所-晴天☀,北京,1,勿忘初心，方得始终
84,['City'],柴东亮,河北,1,
85,['City'],空山新雨,,1,
86,['City'],米饭帮主,北京,1,q
87,['City'],小万君-新新,,1,需要报名，可以找我，优惠多多
88,['City'],雷,,1,
89,['City'],！cc,,2,95后年轻人的婚纱选择
90,['City'],叶欣,北京,2,经历该经历的事，遇见该遇见的人。
91,['City'],邓承志,北京,1,
92,['City'],微微一笑,,0,
93,['City'],史怀林,,1,
94,['City'],Cherry,北京,2,花若盛开，🦋自来
95,['City'],涵涵,河北,2,
96,['City'],蔡桢雨,,1,17317163387
97,['City'],波瑟,北京,1,
98,['City'],莲,北京,2,幸福满满
99,['City'],王恒,安徽,1,
100,['City'],雪梅A-ZA,北京,2,
101,['City'],lj,北京,1,天行健，君子以自强不羁
102,['City'],橙子,北京,1,
103,['City'],链家小街桥店靳志超,,1,iPodiii8
104,['City'],完美心态,北京,1,
105,['City'],平凡不平庸,,1,生命的意义不在于拿起，而在于放下！
106,['City'],X﹏X,北京,1,错过了就是错过了....
107,['City'],石林,北京,1,我想静静歌声里！！！
108,['City'],洪,Victoria,1,
109,['City'],laomo,北京,1,"平常心,对待人生,"
110,['City'],小雪,,1,请您对我本次服务进行评价
111,['City'],不负勇往,,1,"陪

你

把

独

自

孤

单
，

变

成

勇

敢
。"
112,['City'],qingfox,福建,1,简单 有效
113,['City'],A. 裴宽15631070801,河北,1,新手机号码15631070801
114,['City'],播妞,北京,2,我是黑马，我骄傲！
115,['City'],道可道,,1,
116,['City'],大白菜,北京,1,认清自我。
117,['City'],刘亚丽,北京,2,《悟訫》感悟生命 真心待人 不断学习 不断完善自己《玖柒》
118,['City'],🍊,北京,2,
119,['City'],airan cheung,北京,2,
120,['City'],张针山(华为云),河北,1,执子之手，与子偕老
121,['City'],陈阳,北京,1,
122,['City'],慧宝～,北京,2,“宠辱不惊，看亭前花开花落。去留无意，望天上云卷云抒”
123,['City'],AAA.北京新睿云王月🍰,,0,生前何须久睡，死后自会长眠。
124,['City'],福增,福建,1,happy+
125,['City'],沵甜美旳笑、甜蜜珴旳x ,安徽,1,当，，，，，，
126,['City'],把栏杆拍遍,,1,不以物喜，不以己悲
127,['City'],拉风兔,北京,1,;-)
128,['City'],哇咔哇咔😘,福建,2,面朝大海，春暖花开。
129,['City'],黄启典,福建,1,
130,['City'],赵聪,北京,1,
131,['City'],耀,河北,1,这不是神经病，是理想~
132,['City'],向日葵🌼的约定,,2,有些人，总会慢慢淡出你的脑海，因为时间，距离，没有联系。
133,['City'],程志亮,河北,1,从今往后，走马观花，不谈感情，一心向前，别无他念！
134,['City'],彳余丹彡文武,山东,1,
135,['City'],杨阳,北京,1,无
136,['City'],柏林,北京,1,
137,['City'],🐳Jessica🍀,福建,2,爱生活，爱自己
138,['City'],庆,北京,2,珍惜……
139,['City'],福自我予,河北,1,"好学近乎知，
力行近乎仁，
知耻近乎勇。
       ——摘《中庸》"
140,['City'],方,福建,1,
141,['City'],小渡,,2,"DuYi's coffee time,I want to talk about the future…"
142,['City'],渡一首席学业顾问Monica Ⅱ,黑龙江,2,"Monica永远18岁<span class=""emoji emoji1f47c""></span>"
143,['City'],PreservedFreshFlower꧔ꦿ,河北,1,枯骨路成王
144,['City'],mm.c,山东,1,手机号15001151872
145,['City'],汪晶,北京,2,做第四名，不骄不躁，不卑不亢，不争不抢，扎实稳定走自己的路。
146,['City'],周文艳,北京,2,
147,['City'],孙小5,北京,2,古往今来
148,['City'],^_^,北京,2,那些我们以为念念不忘的事，早在我们念念不忘中被我们遗忘
149,['City'],醉墨,,1,尽最大的努力，做最好的自己！
150,['City'],我命由我不由天,陕西,1,
151,['City'],丁军,贵州,1,心源心语
152,['City'],小枫,北京,1,软件工程师
153,['City'],Doux,陕西,2,自古深情留不住，总是套路得人心。
154,['City'],小和尚,Hague,1,"<span class=""emoji emoji1f430""></span>"
155,['City'],何必再忆,河北,1,尽人事，听天命！
156,['City'],Aa仙豆🌻 马哥教育闫老师,北京,2,"我是马哥教育仙豆🍒 
电话13121190767"
157,['City'],happy  兔,,1,一个幸福的家庭、一份自己的事业、一个自己的爱好
158,['City'],Marcus  孟祥城,江苏,1,
159,['City'],武安北京大巴,河北,1,
160,['City'],RAM,北京,1,
161,['City'],A,,1,行者无疆
162,['City'],一叶小舟,福建,2,
163,['City'],🇨🇳 LJ,河北,1,我走得不快，但从不回头
164,['City'],九点半,河北,1,从头再来
165,['City'],Awmms,河北,1,"恍惚地面对世界，笔直地面对人生。
"
166,['City'],京谷粒-快速注册张佑成13301277212,北京,1,京谷粒企业管理✔专注公司设立-财务-VI设计-商标注册-股权架构
167,['City'],Sunday-boy,广东,1,把酒问初心！
168,['City'],kevin,北京,1,
169,['City'],楊賽,北京,1,运筹帷幄
170,['City'],荣盛地产·白静13931024211,河北,2,心软是病，情深致命
171,['City'],sunny,北京,2,
172,['City'],泉水湾,北京,1,
173,['City'],檀文福,河北,1,国酒茅台，香飘万里
174,['City'],。。。。,河北,2,
175,['City'],少将(免税店代购）,海南,1,三亚免税店免费接驳车，海南免税店代购！13322007940
176,['City'],娜娜,河北,1,珍惜
177,['City'],A胡芸จุ๊,,2,"做一个快乐 自信 独立的猪猪女孩<span class=""emoji emoji1f467""></span>🏻"
178,['City'],刘天学,山东,1,大海的搬运工
179,['City'],X,河北,2,
180,['City'],大白,北京,1,拼搏吧，少年！
181,['City'],李赛,,1,生命在于溜达
182,['City'],一直很安静,河北,2,人生没有彩排，所以认真过好每一天
183,['City'],张维东@您身边的企管家,,1,
184,['City'],百分百，微信购物先付款再发货,,0,
185,['City'],杨杨,,0,
186,['City'],遇雪封城,,1,"我停在喧闹的人群中<span class=""emoji emoji2b50""></span>️我的孤独格外刺眼也虽败犹荣＆"
187,['City'],YO,河北,2,心有山海 静而无边
188,['City'],A成安中国黄金店长    刘丽萍,河北,2,心情不好时，给自己一个微笑。
189,['City'],陆军233,河北,1,。。。。。。。。
190,['City'],弄啥嘞,北京,1,
191,['City'],冀海林,,0,
192,['City'],丷当灬成往事,江西,1,闲时云卷云舒，庭外花开花落。
193,['City'],无名指的等待,河北,2,
194,['City'],A 嗨皮,辽宁,1,放宽心，坚持住，一切都是最好的安排
195,['City'],金伯利💎 小索新世纪,,0,15133010621
196,['City'],严文杰,北京,1,
197,['City'],Eternity,,1,日为朝，月为暮，卿为朝朝暮暮
198,['City'],布衣,贵州,1,
199,['City'],黄福田,北京,1,
200,['City'],白头偕老,河北,1,你只管努力！
201,['City'],姜V,Firenze,2,Try  Everything 坚定不移！
202,['City'],ForgeヽAhead🏄,,1,踏实一些，不要着急，你想要的岁月都会给你。
203,['City'],王～,,1,昨夜西风凋碧树，独上高楼，望尽天涯路
204,['City'],Anthony,,1,接纳自己
205,['City'],林,,2,13501293844
206,['City'],国薄薄,北京,2,"<span class=""emoji emoji1f338""></span>"
207,['City'],Hans,北京,1,520@曼曼
208,['City'],赵懒赖,河北,2,我本无恙      心向阳光
209,['City'],快乐每一天,河北,1,"为理想而努力，加油<span class=""emoji emoji1f4aa""></span><span class=""emoji emoji1f4aa""></span>"
210,['City'],AAA🌟 马哥教育糖豆,,0,糖豆15510629131
211,['City'],赵店永强家电15832095296,河北,1,空调按装维修15832095296
212,['City'],主语,,1,
213,['City'],清风挽心,北京,1,想多么简单就多么简单，是妈妈告诉我的哲理。
214,['City'],冀国明,北京,1,一辈子只有一个追求：做真正有用的人；一生只有一个身份：学生。
215,['City'],BBQ🌟,,2,良好而稳定的情绪是最高的修养，也是保持赏心悦目的秘诀。
216,['City'],福星高照,河北,1,天行健君子以自强不息，地势坤君子以厚德载物！
217,['City'],影视器材 移动导播专卖 王博,河南,1,出售导播、摄影摄像设备，承接网络直播、活动拍摄、宣传片
218,['City'],海景房,河北,1,努力！！！奋斗！！！
219,['City'],🌸刘书路 🌸,河北,2,命运在自己手里。可是我怎么样去改变。
220,['City'],。。。。。。,河北,2,
221,['City'],边牧,,1,小林
222,['City'],陈泳成,,0,
223,['City'],Aaron,福建,2,"<span class=""emoji emoji1f343""></span>"
224,['City'],白进红 东部美的城18631072757,河北,2,18631072757
225,['City'],Free like the wind,河北,1,驾驶证办理
226,['City'],"Z ,Yy",山西,2,……
227,['City'],抬头，阳光依旧温暖。,河北,2,当地
228,['City'],武安集衣阁童装店～金都商场后过道,河北,2,努力+相信+坚持=成功
229,['City'],卡农,,1,没有在长夜痛哭过的人 不足以谈人生
230,['City'],张旭²⁰¹⁹,河北,1,
231,['City'],Mr.Chen,,1,无论你爱或不爱，下辈子都不会相见
232,['City'],马海亮,,1,执子之手，与之偕老
233,['City'],"别闹,",北京,1,驴
234,['City'],小辉,吉林,1,憋回去！
235,['City'], 🇦℡工商注册，税务代理,,1,一颗安定的心
236,['City'],暖阿酱,,2,"和酱酱一起学 python 吧<span class=""emoji emoji1f604""></span> ～"
237,['City'],醍阿牟yy,,1,
238,['City'],子非鱼22110,河北,2,青春 奋斗 无悔 
239,['City'],A～我是卖房的郑晨雷18731007321,河北,1,"浅喜似苍狗，
深爱如长风；
所爱隔山河，
山河皆可平；"
240,['City'],黑马程序员周老师,,0,
241,['City'],小灰灰,湖北,1,Tfchain开车可以挖矿！
242,['City'],东东,Paris,1,
243,['City'],石向民,北京,1,
244,['City'],燕子,河北,2,此女子为奇女子，不曾留下只言片语……
245,['City'],先生.张,,1,4285071自驾的路上欣赏美景
246,['City'],从新开始,河北,1,
247,['City'],ssshaw,北京,1,ohh
248,['City'],夏厚,湖北,1,
249,['City'],GYJY,,1,总是后知后觉！
250,['City'],（地产）赵团长,,1,希望我身边的人都好
251,['City'],手揽回忆。,北京,1,
252,['City'],周飚🍀,Kanagawa-ken,1,
253,['City'],印生饭店,河北,1,
254,['City'],许鸣,,2,天，不可能永远是蓝的！也有刮风下雨的时候！请珍惜吧！
255,['City'],我选择狗带-_-#凸,江苏,1,不是你的就不要勉强
256,['City'],Mrs.不二,北京,2,
257,['City'],冀宗耀祖,河北,1,朋友用心交，父母用命孝！
258,['City'],秋雨君,吉林,1,手里拿着鲜花，心里藏着少年
259,['City'],WY,河北,2,
260,['City'],XPH,,0,
261,['City'],Black丶CK,北京,1,不惧将来，不惧，将来
262,['City'],生如夏花,北京,1,心累
263,['City'],陆航,北京,1,自重则威  知止有㝎 
264,['City'],张鸣一,北京,1,柯南在现场办案，黑猫警长出门抓坏蛋！
265,['City'],lincoln,北京,1,唯奋斗者才能主宰自己的命运
266,['City'],与你初见,北京,1,最怕一生碌碌无为，还说平凡难能可贵！
267,['City'],陈龙,,0,
268,['City'],llf,北京,1,
269,['City'],sacred,北京,1,食素
270,['City'],😖Janet,北京,2,"SLOW LIFE <span class=""emoji emoji1f33b""></span>"
271,['City'],桐镜,Paris,1,花以开，没人来，其实不奇怪
272,['City'],书生,河北,1,书生
273,['City'],汤钱,北京,1,青春自由飞翔，快乐带来希望
274,['City'],万先生不太拽,河北,1,业精于勤荒于嬉 行成于思毁于随
275,['City'],赵杨,北京,2,廖雪峰自家Python课程，只对结果负责
276,['City'],白云起,内蒙古,1,长风破浪会有时，直挂云帆济沧海
277,['City'],追随,,1,道阻且长，行则将至
278,['City'],cav.xu,江苏,1,南通无人机aopa培训
279,['City'],小小,台湾,1,别那么怕，边做边学，反思再改进
280,['City'],🍓贝小贝,,2,酷一点
281,['City'],大俗大雅。,,1,走一步，看一步吧
282,['City'],空白格。,山东,1,没那么简单。
283,['City'],Little town...,,2,自分を喜ばせる
284,['City'],苏函,北京,1,
285,['City'],忧郁的微笑,湖北,1,吃得苦中苦方能开路虎
286,['City'],not off  kind,北京,1,Take you first day as the last day!
287,['City'],健康平静,江苏,2,
288,['City'],天途🍭毛燕丽,北京,2,aopa天途航空无人机培训考证               联系电话13370153148
289,['City'],念,河北,2,
290,['City'],AA~房产-小张19931045886,河北,1,
291,['City'],Eternity,北京,1,男人需有鸿鹄志，安能苟且空度日！
292,['City'],Rejoice,北京,1,还能在冬雨天空月亮太阳再想你
293,['City'],百度云-王利文,北京,1,
294,['City'],孙甜甜,河北,2,生活不易，还好我甜。
295,['City'],程序员吴师兄,广东,1,coding
296,['City'],高小净18303052516,河北,2,好多事情没有来日方长
297,['City'],Yuki乐.🍀,,2,Add oil.
298,['City'],三色堇,,2,我会遇到想遇到的，幸福我希望幸福的！
299,['City'],独魅,北京,2,整理好所有的心情，还能洒脱的笑出来，这就是人生！
300,['City'],花朵朵,上海,2,想要躺赚的 下载花生日记 邀请码9G5KSNO联系我
301,['City'],党登锋,北京,1,
302,['City'],炳章,北京,1,水是家乡甜，月是故乡明
303,['City'],记忆,河北,1,性格决定命运，细节决定成败
304,['City'],晓勇Bailey,江苏,1,
305,['City'],学会爱自己,,2,
306,['City'],浮生若梦,北京,1,睡觉。
307,['City'],建利,河北,1,
308,['City'],alek,,1,
309,['City'],王骏,北京,1,不是我不明白，这世界变化快。
310,['City'],空白,,1,
311,['City'],韩延光,北京,1,
312,['City'],JJK,北京,1,……
313,['City'],长建教练,,1,长建教练
314,['City'],慕色摄影活动经理-👸知博👰,北京,2,"最美不过婚纱，最帅不过西服 ，最爱就是我和你<span class=""emoji emoji1f491""></span>"
315,['City'],？？？？承诺！,河北,2,让自己没心没肺起来，这样就不欠任何人！
316,['City'],朵特郭（郭晓华）,河北,1,读过的书就像吃过的饭一样，变成了血和肉
317,['City'],。。。,河北,1,
318,['City'],ADSL,河北,1,向来心是看客心，奈何人是剧中人。
319,['City'],雨水,辽宁,2,隐约雷鸣 阴霾天空 但盼风雨来 能留你于此
320,['City'],雅痞,Berlin,1,王侯将相，宁有种乎？
321,['City'],A-lin,,2,让每个人都能公平公正的获取优质AI教育服务🍭
322,['City'],A-Lin,,0,Python爬虫工程师，让天下没有爬不到的数据
323,['City'],杜建龙,河北,1,"<span class=""emoji emoji260e""></span>️: 15128901234 <span class=""emoji emoji260e""></span>️:5555609"
324,['City'],A积木家装修姜燕🌸 13342269591,辽宁,2,专注于年轻人的新房装修，为给您更好的装修体验而努力
325,['City'],情订奇缘电商经理甜心,河北,2,"微信没有及时回复的话<span class=""emoji emoji1f49e""></span>
请拨打15530058520找甜心<span class=""emoji emoji1f49e""></span>"
326,['City'],播妞,,0,我是黑马，我骄傲
327,['City'],黄思遥,四川,1,我来到这个世界，就没准备活着离开！
328,['City'],奇迹发生。,,1,
329,['City'],学大数据找甘世玉,,2,学大数据开发与挖掘一步到位，目标进入BAT大数据团队！
330,['City'],王电,广东,2,知之为知之，不知为不知
331,['City'],神行工程师资源中心,,0,
332,['City'],沩谁,河北,1,
